R1_EP_DR	83.21	110.93	180.00	0.47	CPF0201D7K68C1_0201
R1_USB	78.24	127.51	180.00	5K1	CPF0201D7K68C1_0201
R2	94.43	131.46	270.00	0	CPF0201D7K68C1_0201
R2_EP_DR1	82.09	111.63	180.00	10K	CPF0201D7K68C1_0201
R2_USB	75.22	127.43	359.30	5K1	CPF0201D7K68C1_0201
R3	75.61	121.73	270.00	0	CPF0201D7K68C1_0201
R4	94.47	132.13	270.00	0	CPF0201D7K68C1_0201
R5	67.03	105.83	180.00	10K	CPF0201D7K68C1_0201
R7	89.19	105.68	180.00	10K	CPF0201D7K68C1_0201
R8	78.15	105.68	180.00	10K	CPF0201D7K68C1_0201
R9	70.74	131.23	180.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	83.79	108.03	180.00	2.2	CPF0201D7K68C1_0201
R_TYPE_SEL1	84.05	109.43	0.00	10K	CPF0201D7K68C1_0201
SJ1	82.33	108.24	90.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1	65.65	103.98	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW2	76.65	103.98	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW3	87.65	104.00	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1	56.09	130.14	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP2	56.74	127.24	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3.3V	60.18	103.69	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	84.77	130.24	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	62.53	107.29	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	59.83	127.19	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	67.97	118.18	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	58.89	130.34	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	58.13	133.39	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	92.99	117.71	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	84.09	133.00	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	93.72	103.29	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	97.05	104.59	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	61.69	133.85	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	86.17	121.58	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	67.53	127.71	180.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	93.78	124.49	270.00		NORDIC_NRF_BT-XTAL_2016_N
X2	79.79	124.64	270.00	32.768kHZ	NORDIC_NRF_1_XTAL_3215_N
